"Text ID","Page ID","Language ID",Name,Description,Text
17,3,1,"There are no listings in this category","This is the message that is displayed when there are no entries in the selected category.","Sorry! There are no ""classified ads"" currently in this category. Please check back soon!"
19,3,1,"Title Column Header","This text appears in the header of the column displaying the listings title while browsing ","Title"
27,3,1,"Price Column Header","column header for the price when displayed while browsing","Price "
51,4,1,"link text returning to listing","This text appears in the link allowing the notifying friend to return to the listing just viewed","Back to Listing"
74,8,1,"Click here to end this sell process","Link appearing throughout the place an listing process allowing the user to end the current place an listing process.",Cancel
78,8,1,Subcategories,"Used in the statement explaining that the category chosen has subcategories so would the user choose one of the subcategories or affirm placement in the current category.","Please select a <strong>""subcategory""</strong> to place your listing in:"
82,8,1,"Or just place your item in the","Used in the statement explaining that the category chosen has subcategories so would the user choose one of the subcategories or affirm placement in the current category.","Just Place Listing In: "
91,11,1,"Click here to end this sell process","Link appearing throughout the place an listing process allowing the user to end the current place an listing process.",Cancel
97,11,1,approve,"listing approval link at the bottom of the approval page. Once clicked the listing will be entered into the site",Approve
98,11,1,"edit category","Link allowing the user to edit their listings category from the approval page.","Edit Category"
99,11,1,"edit images","Link at the bottom of the approval page allowing the user to change the images they currently have.","Edit Images"
100,11,1,"edit details","Link at the bottom of the approval page allowing the user to edit the details of the listing they are entering","Edit Details"
103,11,1,"edit images link text","appears at the bottom of listing approval page allowing the client to edit present and add new ones to the present listing","Edit Images"
113,9,1,"Click here to end this sell process","Link appearing throughout the place an listing process allowing the user to end the current place an listing process.",Cancel
134,9,1,"Price Field Label",,"Price:<br /> <span class=""mini_note"">[format: 2000.00]</span>"
165,10,1,"Click here to end this sell process","Link appearing throughout the place an listing process allowing the user to end the current place an listing process.",Cancel
173,10,1,"Delete Image Link Text","This text lets the user delete the adjacent image from the place an listing image collection",Delete
241,15,1,"Link Text To End Registration","This text appears at the bottom of forms 1 and 2 allowing the user to end their registration","Cancel Registration"
242,15,1,"Link To Restart Registration","This link text will allow the user the start the registration process over once they have stopped their registration process.","Restart Registration"
255,15,1,"first contact number","label for first contact number field in registration page 1 form","Phone:<br /> <span style=""font-family:Arial, Helvetica, sans-serif; font-size:smaller; color:#999999;"">[format: 123-456-7890]</span>"
256,15,1,"second contact number","label for second contact number field in registration page 1 form","Phone 2:<br /> <span style=""font-family:Arial, Helvetica, sans-serif; font-size:smaller; color:#999999;"">[format: 123-456-7890]</span>"
257,15,1,"fax number","label for fax number field in registration page 1 form","Fax:<br /><span style=""font-family:Arial, Helvetica, sans-serif; font-size:smaller; color:#999999;"">[format: 123-456-7890]</span>"
261,15,1,"website url address","label for website url address field in registration page 1 form","Website URL Address:<br /> <span style=""font-family:Arial, Helvetica, sans-serif; font-size:smaller; color:#999999;"">[format: http://www.site.com]</span>"
320,18,1,"Page Title",,Congratulations!
325,18,1,"registration success instructions","notification of successful registration instructions","Your registration is now complete. <a href=""index.php"">CLICK HERE</a> to start browsing..."
360,30,1,"delete favourites text link","This text appears in the favourites list as a link to the delete the adjacent listing from the favourites list","Delete favourite"
361,30,1,"User Management Home Link Text","link text linking to the usermanagement home from various pages within the user management section","My Account"
371,26,1,"User Management Home Link Text","link text linking to the usermanagement home from various pages within the user management section","My Account"
381,27,1,delete,"in the display listing filters page","Delete Filter"
383,27,1,"remove all listing filters","link text to remove all listing filters","Delete All Filters"
384,27,1,"Add a new listing filter link","link text to listing a new filter at the top of the current listing filters display page","New Filter"
385,27,1,"User Management Home Link Text","link text linking to the usermanagement home from various pages within the user management section","My Account"
394,24,1,"View message link","link text to view a message","<img src=""{external file='images/buttons/listing_view.gif'}"" alt=""View Message"" />"
395,24,1,"Delete link text","text for delete link","<img src=""{external file='images/buttons/listing_delete.gif'}"" alt=""Delete Message"" />"
396,24,1,"Link to Communication Configuration","Link text linking the the communications configuration page","Message Settings"
397,24,1,"User Management Home Link Text","link text linking to the usermanagement home from various pages within the user management section","My Account"
408,45,1,"User Management Home Link Text","link text linking to the usermanagement home from various pages within the user management section","My Account"
415,25,1,"Your Reply Label","Your reply below:","reply to message below:"
416,25,1,"User Management Home Link Text","link text linking to the usermanagement home from various pages within the user management section","My Account"
420,43,1,"list current listings","in user management menu","<a href=""index.php?a=4&amp;b=1"">My Active Listings</a>"
421,43,1,"list expired listings","in user management menu","<a href=""index.php?a=4&amp;b=2"">My expired Listings</a>"
422,43,1,"my current information","in user management menu","<a href=""index.php?a=4&amp;b=3"">My Account Information</a>"
423,43,1,"place new listing","in user management menu","<a href=""index.php?a=1"">New Listing</a>"
424,43,1,"listing filters","in user management menu","<a href=""index.php?a=4&amp;b=9"">My Listing 
Filters</a>"
425,43,1,communications,"in user management menu","<a href=""index.php?a=4&amp;b=8"">My Messages</a>"
426,43,1,"communication configuration","in user management menu","<a href=""index.php?a=4&amp;b=7"">Message Settings</a>"
427,43,1,"favourites List Link","link text appearing the user management home menu linking to this users favourites","<a href=""index.php?a=4&amp;b=10"">My favourites</a>"
436,28,1,"User Management Home Link Text","link text linking to the usermanagement home from various pages within the user management section","My Account"
440,23,1,"You currently have no expired listings","This message appears when a user clicks to view their expired listings but have none.","You have no expired listings."
444,23,1,"view expired listing link","This is the text linking to the expired listing of the current user","View Listing"
445,23,1,"User Management Home Link Text","link text linking to the usermanagement home from various pages within the user management section","My Account"
456,35,1,"link back to list expired listings","This is the text linking to the expired listings list.","My Expired Listings"
457,35,1,"User Management Home Link Text","link text linking to the usermanagement home from various pages within the user management section","My Account"
464,34,1,"Back to edit listing home","link text to return to listing editing home page","Edit Listing"
473,32,1,"Back to edit listing home","link text to return to listing editing home page","Edit Listing"
480,36,1,"Back to List of Current Listings Page","This text appears in the link back to the current users page listing their current listing when they have successfully removed an listing from the site","My Active Listings"
491,31,1,"edit details link text",,"Edit Details"
492,31,1,"edit images link text",,"Edit Images"
493,31,1,"edit listing category link text",,"Edit Category"
494,31,1,"current listings link text",,"My Active Listings"
502,33,1,"Back to edit listing home link text",,"Edit Listing"
505,22,1,"Your Current Listings Page Instructions","The instructions on the page listing the users current listings","Manage your active listings below. Click "Manage My Listing" to view your available options. Listing renewal and upgrade buttons will automatically appear as choices for each listing when the time window for those options becomes available.<br /><br />Note: The administrator may have placed restrictions on the information that you may or may not edit."
509,22,1,edit,"in list active listings table","Edit Listing"
510,22,1,remove,"in list active listings table","Delete Listing"
511,22,1,"You currently have no active listings","in list current listings table","You currently have no active listings."
512,22,1,"User Management Home Link Text","link text linking to the usermanagement home from various pages within the user management section","My Account"
551,38,1,"link text to return to user info page",,"Edit My Info"
552,38,1,"User Management Home Link Text","link text linking to the usermanagement home from various pages within the user management section","My Account"
568,37,1,"edit your information link","This text appears in the link at the bottom of the user informaion page allowing the current user to edit their information","Edit My Info"
569,37,1,"User Management Home Link Text","link text linking to the usermanagement home from various pages within the user management section","My Account"
591,44,1,"start new search link","link text linking the client to the starting search page","New Search"
620,43,1,"section title","text for the section title","My Account"
716,22,1,"display sold icon","click to display the sold icon next to your listing","<img src=""{external file='images/buttons/listing_notsold.gif'}"" alt=""Click to mark as sold"" />"
717,22,1,"link showing sold sign currently displayed",,"<img src=""{external file='images/buttons/listing_sold.gif'}"" alt=""Click to remove sold setting"" />"
722,19,1,"Continue With Registration Button Text","Button text displayed at the bottom of the Registration Code Splash Page to allow the user to continue with the registration.","Continue Registration"
786,1,1,"Next Listing Link",,"Next &gt;&gt;"
787,1,1,"Previous Listing Link",,"&lt;&lt; Previous"
821,56,1,"Back to My Current Listings Link",,"My Active Listings"
834,22,1,"renew link",,"Renew Listing"
835,22,1,"upgrade link",,"Upgrade Listing"
849,57,1,"Back to My Current Listings Link",,"My Active Listings"
860,58,1,"Return to My Current Listings Link",,"My Active Listings"
863,57,1,"Start Renewal/Upgrade Over Link",,"Restart Process"
866,23,1,"Renew Listing Link",,"Renew Listing"
875,62,1,"Back to Normal Browsing Link",,"Normal Browsing"
876,63,1,"Back to Normal Browsing Link",,"Normal Browsing"
887,19,1,"End Registration Link",,"Cancel Registration"
888,64,1,"Back to Normal Browsing Link",,"Normal Browsing"
